#S W T DMe thres logL Z DMi DMh DMs
2.861230174341208610e+01 2.486224653454097044e+00 5.310174444005323835e+01 7.834281283970009326e+02 1.637510849608569430e+01 4.382388956005853942e+01 2.647096498273193710e-01 2.248904071786321026e+02 6.694814861082721791e+02 3.690655970916002815e+01
8.686368046881493399e+01 7.622220252371176841e+00 1.179971158767948047e+01 3.475652436167786163e+02 9.352196504297030089e+00 4.474787241360808565e+01 3.433422915226543859e-01 2.951134271991817855e+02 6.297754208947884536e+01 7.483201171461240087e+00
1.599996547765641353e+01 7.035715037639832303e+00 1.184451671056152691e+02 6.310139685928518247e+02 9.734199659119710191e+00 4.475527360032570812e+01 6.665125308890066380e-01 5.904224785632968633e+02 2.326088194957096533e+01 4.438534483213857129e+01
1.621095546489079098e+01 3.513647615558029624e+00 8.162949050014904628e+01 8.833250039736518602e+02 1.377448176813137870e+01 4.476928745656386610e+01 8.340158253977599800e-01 7.441759753589265074e+02 2.080746388666757412e+02 4.712688170145632682e+01
2.239191681286989066e+01 4.738344272188717454e+00 3.066943075039667832e+01 3.783845192954089498e+02 1.186153963891045215e+01 4.433166218173102635e+01 3.712529278891005813e-01 3.202711180889979232e+02 3.433770092465385204e+01 4.535047062923124628e+01
2.795512047978293424e+01 1.176217679369340852e+00 2.153285292122959937e+00 5.050374728678010570e+02 2.380732052605262439e+01 4.453684094129295090e+01 4.913660832967429171e-01 4.295621908748672126e+02 6.812687858912731542e+01 4.443439710239160689e+01
4.457322362824103124e+01 2.392291606952751781e+00 1.168666618285310932e+01 2.289312957558076391e+02 1.669349656744806509e+01 4.393627387366448289e+01 2.254588211112129592e-01 1.902880801954722187e+02 2.080855012781617575e+01 2.654711925669893091e+01
2.778807352972957290e+01 4.828794418502373453e+00 1.794252978728743741e+01 5.637982299032921674e+02 1.174992277913423422e+01 4.445052351658967638e+01 4.572449907092873689e-01 3.983800619753172896e+02 1.910942941075629733e+02 4.996050247778610753e+01
3.879779441238738968e+01 2.115116771277963270e+00 1.223801785237548678e+00 3.952017485935055561e+02 1.775363128521857448e+01 4.393589671765551685e+01 2.158116828874903081e-01 1.818341730501427946e+02 2.132126463513381793e+02 4.620214474366140678e+01
2.033936187565551634e+01 9.583167866853948169e+00 7.925686469038841153e+01 4.301836599152312601e+02 8.340648567694028515e+00 4.444107514365550315e+01 4.285376863873169295e-01 3.722221643849428006e+02 3.320257733959340385e+01 4.959760338479368613e+01
