#S W T DMe thres logL Z DMi DMh DMs
1.692687570193517343e+00 2.355786843995444357e+00 5.227742920086872118e+02 1.051666425242800187e+03 3.604786877790881472e-01 4.426273282258372177e+01 1.120988020268756102e+00 1.004027249909835859e+03 7.909425704239770027e+01 2.194786313430229185e+01
5.801616079677679449e-01 3.339014664302485613e+01 2.794201193399100447e+01 1.527874616818655340e+03 9.574992144021089724e-02 4.409314583681761235e+01 1.699561710943583881e+00 1.504484375121134008e+03 3.099601222591926941e+01 3.214738867042530757e+01
3.921568255636086775e+01 4.863633823798675593e+00 2.794201193399100447e+01 5.828615670929043517e+02 2.508806432242712270e-01 4.505504025570527915e+01 6.044492653431310369e-01 5.333401075690441075e+02 6.562216346527783628e+01 1.383250588649931956e+01
2.655578040176877153e+00 8.748168770790453408e+00 4.385309515953981929e+01 1.033765935902647470e+03 1.870634815757762637e-01 4.435891744566577444e+01 9.130785779478745035e-01 8.163564603985332724e+02 3.668208358716420321e+02 4.910057435816194982e+01
1.644314607761433233e+00 1.028823325638050434e+01 4.385309515953981929e+01 1.038418167582843580e+03 1.724952690893191976e-01 4.415266785061911747e+01 1.143851402964640718e+00 1.024387986855823783e+03 1.131755392906803692e+01 1.876106870640088076e+01
3.318028886561930069e-01 6.906638538929053439e+00 4.385309515953981929e+01 2.826466330575526058e+02 2.105301140257033743e-01 4.237058834643434579e+01 3.227879955498508258e-01 2.766525111549996723e+02 7.125571903143590902e+00 8.033805934158977369e-01
2.230705639686357156e+00 6.355307338905200609e+00 2.232239996137569165e+02 7.680248812902733562e+02 2.194720957188111554e-01 4.390725493961413406e+01 8.403841596380535739e-01 7.500059474027514170e+02 2.959700756871700733e+01 3.564752931443754491e+00
9.279852618047350621e-01 7.716204663532007402e+00 2.232239996137569165e+02 3.643407834563888059e+02 1.991799964838409098e-01 4.269318947738616998e+01 3.679800432304715097e-01 3.173196604105350502e+02 2.261240185635070787e+01 4.171155608066162301e+01
2.911236661121049396e-01 1.324931389847899688e+01 2.232239996137569165e+02 1.232190377753297753e+03 1.520025573773298999e-01 4.378973011730474241e+01 1.313714317806176535e+00 1.174482967384497897e+03 1.103042371723100530e+02 2.321422444149894204e+01
1.102220095074313377e+02 6.974962268189784931e-01 1.271678775645058153e+02 4.763112115154419257e+02 6.624859286874903441e-01 4.506848074617946054e+01 4.084521972529469025e-01 3.539731647241011387e+02 1.397380925057780132e+02 3.256919830511976244e+01
7.233753600256229710e-01 5.418509444104371298e+00 1.271678775645058153e+02 1.977047036652343877e+03 2.376882275937432509e-01 4.459810942825008340e+01 2.146689229579160418e+00 1.866818013973271491e+03 3.117492393968282158e+02 3.510723905444605464e+01
2.783708392686921052e-01 4.888301930257097361e+00 2.739078851342943040e+02 9.515299778505063841e+02 2.502468262133697996e-01 4.348406217319626421e+01 1.033932659614794636e+00 9.258391840630678189e+02 3.264912422012638160e+01 1.960422031557373401e+01
4.360649838342032791e-01 4.882290194307975284e+00 2.739078851342943040e+02 1.124320342863991982e+03 2.504008476823602058e-01 4.349287598684556855e+01 1.026481070127815531e+00 9.191086028780932793e+02 4.146914812727588924e+02 1.166225176656299212e+00
4.753032150037951098e+00 3.019723658404434463e+00 7.954165408760539435e+01 6.137007349008847541e+02 3.183933502305085206e-01 4.409628111000825612e+01 6.381270870232806924e-01 5.643144449754096286e+02 5.486870212136299330e+01 2.603231713314270834e+01
3.025865910782232771e+00 2.388807910458259354e+00 5.876793614904009928e+02 2.162537526532432821e+03 3.579785258134740578e-01 4.527612320281345148e+01 2.493660356811313150e+00 2.134280934786955640e+03 9.627584983740676705e+01 2.443084562368031065e+00
9.747373741785427814e-01 8.677180809945260975e+00 5.876793614904009928e+02 2.047767038527409568e+03 1.878271055310176130e-01 4.487818605784134718e+01 2.356332885183109127e+00 2.029866033389152562e+03 3.943437347077139066e+01 2.064735875259262698e+01
3.551127105894217983e+00 1.864896386959985053e+00 5.876793614904009928e+02 9.187026352502655300e+02 4.051540977442363300e-01 4.445428427137111527e+01 8.959013295354536499e-01 8.006895166316381847e+02 2.099088547731911660e+02 1.383237371848962738e+01
2.568061307210041666e-01 1.858912921897207937e+01 3.763770698765129197e+01 1.302131893853245401e+03 1.283270073263389766e-01 4.371527830572713214e+01 1.440379251394747984e+00 1.284494071006984086e+03 2.165559707092057451e+01 2.138737984287157445e+01
3.796760144202904752e-01 3.730265481864309951e+00 3.763770698765129197e+01 6.062452438982154490e+02 2.864690572015589631e-01 4.269802835181059208e+01 5.080850765678999181e-01 4.448763985155524097e+02 2.055429973415523079e+02 3.781495020303477617e+01
6.317635798742606834e-01 1.883649455747203438e+00 3.763770698765129197e+01 2.230756719365101617e+02 4.031322544693806686e-01 4.210563543693191235e+01 2.258505990113572892e-01 1.906314000394097263e+02 1.005057303287483172e+01 2.972125710667306464e+01
2.219162258611828975e-01 1.330096565410747544e+01 3.763770698765129197e+01 1.507714506713103674e+03 1.517071338665174907e-01 4.369647507243864482e+01 1.337358501388053789e+00 1.195129809271526710e+03 7.186044634467967853e+02 1.201803652208564621e+01
6.118695204873968452e-01 1.400713736306776269e+01 1.850033658459702224e+01 1.181971557189054238e+03 1.478335124660233590e-01 4.398127502207898942e+01 1.311455590183294717e+00 1.172510575657204299e+03 1.072592014399177884e+01 1.114271850642368200e+01
2.742428953747353848e+00 1.369230121026033764e+01 1.791224272243766080e+01 1.486081743355220851e+03 1.495234700435152386e-01 4.475195937487379894e+01 1.663071166790907274e+00 1.473824056888385485e+03 2.108425943497327282e+01 1.155883196641914701e+01
8.427666195640365343e-01 4.189285832262887865e+00 7.663928155527415242e+01 1.356971967484144216e+03 2.703196354058646222e-01 4.418574934494204598e+01 1.449657823440302806e+00 1.292504130051290758e+03 1.576945576277580017e+02 2.295846999088635432e-01
2.874217847012351390e-01 4.399531752537026108e+00 1.187304289333140161e+02 2.465442461648206063e+03 2.637815168418543021e-01 4.436553872641164276e+01 2.919200345209671088e+00 2.447529803574338530e+03 3.953718559211953476e+01 3.066611011460414460e+01
4.227172499864243482e-01 7.727059905779278814e+00 1.187304289333140161e+02 2.188019331131085892e+03 1.990400398225930234e-01 4.450565451415697282e+01 2.503831036522294440e+00 2.141965004626240443e+03 1.293094992729496369e+02 3.205707930085922186e+01
5.434645293483713058e-01 9.058099464509524523e+00 4.074952652022302573e+02 9.263370106713458654e+02 1.838353587268175271e-01 4.378983712885402468e+01 1.018613318161659897e+00 9.120021266767424777e+02 2.358984656196887997e+01 5.346741183839998079e+00
7.803674204005962567e-01 2.129856802352619205e+00 1.724946667963452853e+02 1.554599930591396969e+03 3.791162386019961139e-01 4.430533935173613003e+01 1.706045305522627231e+00 1.509853595282496599e+03 1.190940860400611854e+02 1.991524561930096970e+00
3.018943855986956359e-01 7.046701082870498567e+00 1.523535575806797624e+02 2.555468428624420994e+03 2.084273298460485035e-01 4.462450220093251829e+01 2.991093889578708698e+00 2.498870988803215823e+03 2.045305236296132136e+02 2.135517260659699090e+01
2.719112772585523530e-01 5.875488959209620887e+00 1.523535575806797624e+02 1.179103677118335327e+03 2.282577764204231086e-01 4.362624150613360996e+01 1.242103052033417310e+00 1.111535015495624293e+03 1.503049390716187474e+02 1.190963374474962588e+00
4.492720898228046433e-01 8.716121334218401628e+00 7.408005293917301515e+01 1.468191992028916047e+03 1.874070635672024365e-01 4.416261046855179018e+01 1.625046212252231115e+00 1.441857241198414840e+03 3.078070134359801813e+01 3.834923657461546043e+01
6.147964103258136692e-01 5.102784494511057645e+00 3.518144387592296880e+02 1.424460090413957460e+03 2.449311242352408824e-01 4.404207593732039783e+01 1.443983888985663544e+00 1.287605903279752283e+03 3.089443710857426595e+02 2.552505741048390320e+01
2.859175672670900004e-01 1.094777480533030811e+01 3.518144387592296880e+02 1.805039504278104914e+03 1.672186303087131176e-01 4.407682436778388535e+01 2.031275001649376577e+00 1.775229207980530418e+03 5.235763661240726918e+01 3.800556934619094562e+01
5.193778385900865935e+00 4.333853115775101017e+00 9.061815721770555001e+02 5.059502342956870962e+02 2.657727777598321017e-01 4.386922682893879255e+01 5.420569180870964399e-01 4.760244519299052399e+02 8.074841711537846578e+00 3.807241801478490117e+01
2.490833164350356732e+00 2.130922434332299886e+00 4.517630829988306829e+01 8.202297380960817463e+02 3.790214324978681826e-01 4.400234211460806932e+01 8.417261633982038305e-01 7.512345017011236905e+02 1.140147104008896548e+02 1.305562161754865791e+01
1.788772729796895833e-01 1.304354454319157064e+01 4.526139596788372188e+01 2.459733784487572393e+03 1.531968292511907415e-01 4.430292494221893662e+01 2.884755511842684861e+00 2.422616491945073903e+03 9.757449806578451046e+01 4.661710872336443856e+01
2.333355797345649796e-01 6.178677535058858972e+00 7.014401012186139539e+00 2.268747246728932168e+03 2.225870145395905664e-01 4.412503084517555152e+01 2.593112454415829493e+00 2.209055549509062075e+03 1.716852561340031400e+02 4.279372457193076684e+01
1.029198326024605770e+01 8.893276888393685908e+00 7.014401012186139539e+00 6.919401055559387714e+02 1.855310841849570347e-01 4.471630519153465144e+01 7.342193857840071392e-01 6.526706497778612857e+02 5.985420110878003896e+01 8.247650370749791904e+00
2.596731159063371930e+00 1.274691091555607114e+00 1.056958051772774780e+02 2.487692330042528113e+02 4.900553267261119061e-01 4.280021727233011575e+01 2.378308766667138752e-01 2.011616173936379255e+02 3.200666899299176293e+01 2.692350757430760311e+01
2.517601658373505580e-01 5.126304515538567586e+00 2.152141399816510159e+02 1.268274704443026394e+03 2.443685934542290661e-01 4.350542512927126637e+01 1.375914879113555589e+00 1.228798446290787524e+03 6.856941049642979635e+01 2.522281861920259161e+01
1.168377828995033951e+00 4.408440683854059294e+00 2.152141399816510159e+02 1.232878972696103119e+03 2.635148465995802436e-01 4.434634148963731093e+01 1.269444253458568372e+00 1.135655943771934290e+03 1.903343047598810074e+02 3.030793953591000189e+01
2.406123118597577548e+00 3.333630756670804551e+00 2.109382754107434366e+00 1.150582403469007431e+03 3.030322443380012443e-01 4.442329574699117956e+01 1.257228534539403420e+00 1.124879004042369843e+03 3.156086746620266936e+01 2.645757915426740325e+01
1.698902469772467227e-01 1.117368667784989533e+01 2.109382754107434366e+00 2.070889496455134122e+03 1.655195683014747399e-01 4.408268944254152899e+01 2.385981925022946371e+00 2.052728313786230501e+03 4.582735956568116364e+01 1.566607668826587307e+01
9.328631391378114923e-01 7.100435926907289641e+00 2.109382754107434366e+00 1.720661153314678586e+03 2.076371614476469063e-01 4.455728290219850152e+01 1.930409506349708648e+00 1.694181643708995807e+03 7.329672706398370963e+01 4.299079607987621898e+00
5.624115131550921909e-01 1.239159252628429009e+01 2.109382754107434366e+00 2.005604052945443982e+03 1.571752021147145850e-01 4.432837165437307902e+01 2.146881973799672050e+00 1.866969554691191888e+03 4.156409755677404405e+02 2.062542793532744057e+01
2.315108368748327816e+00 6.800928653001519386e+00 8.154407190834348285e+01 5.212538434089525481e+02 2.121599870036412760e-01 4.363854647555084654e+01 5.159441736687793156e-01 4.520751480406693759e+02 7.123221709129479962e+01 3.363882309426150385e+01
1.385400702322331146e+00 7.564767618531226034e+00 8.154407190834348285e+01 4.852717320588183156e+02 2.011637828044299248e-01 4.331724959898743776e+01 5.213697499873963803e-01 4.570448493238815786e+02 3.212970306039353119e+01 1.081382246898072097e+01
3.734422638638927427e+00 3.774885082601810105e+00 1.909269571578635691e+02 3.868595531599418109e+02 2.847709748535927066e-01 4.349347856676738644e+01 4.185001100926581952e-01 3.630995245144907244e+02 1.685307197474545049e+01 1.685053127463164557e+01
9.203060440902899320e-01 1.824590487918404236e+01 4.668432242799482879e+01 2.514968379374441611e+03 1.295283658082738154e-01 4.493201768680609831e+01 2.978959487077507795e+00 2.490294614336261020e+03 8.161036907896824744e+01 1.656554240162210334e+01
4.896681621991201827e-01 2.014750371226834869e+00 4.668432242799482879e+01 6.692237538987607195e+02 3.897956312107755394e-01 4.323214596840657720e+01 7.171017822836559530e-01 6.369372614724028381e+02 2.689725926972111125e+01 2.854193441926569719e+01
3.580942041039321566e+00 4.884957821556223934e+00 4.668432242799482879e+01 1.251215139062965591e+03 2.503324676300274221e-01 4.465719372461165904e+01 1.368562256868098626e+00 1.222377906184959556e+03 2.326127501468243608e+01 4.504150637267862578e+01
2.321518695957535405e-01 7.693639537107228143e+00 4.668432242799482879e+01 1.493561664191881846e+03 1.994718759670618402e-01 4.383089274431873861e+01 1.622652577938131113e+00 1.439844960897850797e+03 1.160273023324275954e+02 2.485294804000068325e+01
9.841973818411620112e-01 3.382214712453225136e+00 1.131942735187502080e+01 6.866944646551338565e+02 3.008479124592858267e-01 4.353860087196056838e+01 6.907090080375747343e-01 6.126780110418636696e+02 1.096621409994035190e+02 1.547814386754775029e+01
5.835954461181285069e+01 7.500841067656704997e-01 1.131942735187502080e+01 3.408598483425245149e+02 6.388407454515483419e-01 4.438831288717777568e+01 2.994915150261757697e-01 2.558185028105925198e+02 8.484653716167851201e+01 2.566396978347626501e+01
1.924756185065240821e+00 1.472381342764833123e+00 3.525610986807322433e+02 2.915680861008093530e+02 4.559712252088382600e-01 4.311366163184371203e+01 3.318852486653682821e-01 2.848216246866193728e+02 5.576111470016699379e+00 3.409400968233017082e+00
1.387210217995529238e-01 1.899955849457263923e+01 3.201176099469137171e+02 2.039659424695320467e+03 1.269333771690667745e-01 4.380508510300203540e+01 2.262564780257339425e+00 1.957561745672044935e+03 2.325389183944220122e+02 3.531007772778853848e+01
5.000536081731644655e-01 5.758680306352060185e+00 3.201176099469137171e+02 1.124737866320323974e+03 2.305611368338346401e-01 4.366468170226091416e+01 1.185974948715928790e+00 1.061887348989297607e+03 1.228853280930419771e+02 1.450432830641778459e+01
3.773347330504062680e-01 2.238645230906015193e+00 2.287822168261823919e+01 7.377101241484634784e+02 3.697898209853597296e-01 4.316510120117914084e+01 7.769879462560337346e-01 6.919300399293975943e+02 7.392710789861612852e+01 7.423549937249990016e+00
6.958677440321241470e+00 6.400833029723163925e+00 1.061490884696529662e+02 5.127675340487085123e+02 2.186902093264196101e-01 4.394266937192868738e+01 5.274342113855523539e-01 4.626044202088535258e+02 4.950305098292669470e+01 2.711780524569588735e+01
2.336571106362939965e+00 3.231465559539863808e+00 1.061490884696529662e+02 3.377891410826402989e+02 3.077852644606727250e-01 4.271638699851635579e+01 2.571699495205275188e-01 2.182219367600045530e+02 1.164131791746817868e+02 3.390311704791674430e+01
1.240812257983343603e-01 2.212183134575147747e+01 1.061490884696529662e+02 2.585287237455934701e+03 1.176351338607496133e-01 4.413631762347966259e+01 2.945806647637344788e+00 2.466773650586773329e+03 4.236387939042726885e+02 4.399290499940965304e+01
2.762450381268021782e-01 1.065231441771551957e+01 5.096339674053614210e+00 1.217455911294577618e+03 1.695218179653391610e-01 4.374622406457153545e+01 1.290196478914911626e+00 1.153946453639749961e+03 1.220450747635439370e+02 2.340406153533828970e+01
5.212836188305685070e-01 1.364500010593698498e+01 5.096339674053614210e+00 2.233492930480519590e+03 1.497824112818952613e-01 4.449982391736936904e+01 2.537876081776344606e+00 2.167686442410902600e+03 1.836116508059145644e+02 4.920354936128445189e+01
3.391498628601369303e-01 5.182952138460248825e+00 1.265521263495455884e+01 1.958410118003507478e+03 2.430294982773955059e-01 4.416000017207633732e+01 2.206828680081705851e+00 1.914101276113676022e+03 1.403952730242377811e+02 1.695591929279111065e+00
5.880616902224505838e-01 3.622061779035752327e+00 1.265521263495455884e+01 1.571132134047848012e+03 2.907164875037956397e-01 4.413180375213136131e+01 1.717092498656195509e+00 1.519002040851708898e+03 1.357025894369903369e+02 5.939695740487838549e+00
4.800690645266604273e-01 1.700217433243615872e+01 1.265521263495455884e+01 1.660377561297870898e+03 1.341823387040424753e-01 4.421760212998619721e+01 1.872489740214488219e+00 1.646987701122406406e+03 1.743615445304194722e+01 2.102608152388645735e+01
1.483484468296213110e-01 2.908693436855374870e+01 1.265521263495455884e+01 2.274708814641017398e+03 1.025884844582065358e-01 4.403740425937767355e+01 2.627500792124825679e+00 2.234487400127681212e+03 1.006446069368620329e+02 4.525860607064615948e+01
9.140480369180297160e-01 2.983471149649086840e+01 4.651512170873367040e+02 1.301604145112477681e+03 1.012946873335707904e-01 4.433853376926298040e+01 1.372268349955585443e+00 1.225614182782583384e+03 1.325002265025292445e+02 4.776835604699597582e+01
2.453442420911317867e-01 6.666856379086421036e+00 1.053961993234874654e+02 1.430314953267641613e+03 2.142826654011822096e-01 4.369231719219595078e+01 1.581297890724176369e+00 1.405036698787490877e+03 3.349611805111271678e+01 3.175458691968922764e+01
7.498580387422212334e-01 1.397644671201873479e+01 1.053961993234874654e+02 2.365131792475813199e+03 1.479957360565100632e-01 4.482150173002900573e+01 2.773280071284875081e+00 2.341988365223226083e+03 4.366582515127894482e+01 4.366080768213887353e+01
4.201766425539732452e-01 7.841122640238422647e+00 1.053961993234874654e+02 1.851536685434298988e+03 1.975870450088543229e-01 4.424039580849685649e+01 2.098659152201173050e+00 1.829055468417735028e+03 3.404861584856876533e+01 3.561301301242810524e+01
3.828658568971570753e-01 7.748172439840375070e+00 5.653171323646171231e+01 1.109396134585797199e+03 1.987686786617623158e-01 4.360990466665590759e+01 1.180249927462758475e+00 1.056790801645870260e+03 8.172269039249417233e+01 3.297008293393599843e+01
1.488658827595386702e+00 4.317611246360736565e+00 9.883614495791209720e+02 1.712069692645201485e+03 2.662721968322727117e-01 4.480180049252128072e+01 1.908499598424572063e+00 1.676329103795724450e+03 5.531553526135642329e+01 4.863595305480525610e+01
1.702356737489730820e+00 5.644179004653536502e+00 6.833324763116591782e+01 1.183805564735431744e+03 2.328880476187271120e-01 4.423782890777296473e+01 1.254577746054643228e+00 1.122540427989243199e+03 1.167661735727216410e+02 2.136084034422976430e+01
1.912163490073284011e+00 1.337505736959989910e+01 6.833324763116591782e+01 6.517855533988954448e+02 1.512863561753360342e-01 4.385807855601899519e+01 6.870536812073578803e-01 6.093158999175802819e+02 3.229989775240713357e+01 3.934868749284641609e+01
8.711354828684686469e-01 1.733569004311251760e+01 1.414359551537424409e+02 1.025986306896411406e+03 1.328853249836130512e-01 4.406854031037649122e+01 1.126232736861298322e+00 1.008703439680737006e+03 1.123484145003188317e+01 2.551255661076207559e+01
6.383395664862085983e-01 3.564859088938125531e+00 6.324726040888981515e+01 5.641870427464743898e+02 2.930396625901621754e-01 4.328412927207369876e+01 6.020931553288747518e-01 5.311734605201213526e+02 1.242622800345545642e+01 4.046460611427176701e+01
3.219894864181885863e-01 4.234577296673862179e+00 6.324726040888981515e+01 5.181993914803613279e+02 2.688701299839570957e-01 4.271472784126670064e+01 5.443519659236745190e-01 4.781307387752098066e+02 3.445565786938433916e+01 2.742444470772938558e+01
4.472581049258357311e+00 2.646455420037173489e+00 8.349570649334175698e+01 7.708274355639335909e+02 3.401067867004581857e-01 4.434622152678407048e+01 8.274290360059147753e-01 7.381460157864448774e+02 1.761235457963119089e+01 4.211062085964969270e+01
2.350750401805825063e-01 6.717582769355366246e+00 2.125851369624996323e+02 1.515417486026165079e+03 2.134720773855155740e-01 4.367072081768392167e+01 1.681809648445483862e+00 1.489577122122230321e+03 6.451871638771842754e+01 4.780220849196275879e+00
1.873067825782990525e-01 9.019373867508440057e+00 6.128231317501162323e+01 1.217752244035189051e+03 1.842295938922101362e-01 4.292889495860626425e+01 8.456510510818107118e-01 7.548275897218188675e+02 8.061751942733370697e+02 4.822218053181852326e+01
3.435053372168387908e-01 5.835461378496030527e+00 1.099458522233479840e+02 8.307093782660047054e+02 2.290392906526254324e-01 4.323383044480051041e+01 8.799886246584236460e-01 7.861719135565214174e+02 3.689891098800733005e+01 4.683101603694726833e+01
